City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Mar Del Plata,AR,69.1,few clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
4,Hithadhoo,MV,82.35,scattered clouds,-0.6,73.0833,Scoop Guest House
5,Rikitea,PF,79.29,overcast clouds,-23.1203,-134.9692,People ThankYou
6,Saint-Philippe,RE,78.39,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
7,Mayo,US,77.04,clear sky,38.8876,-76.5119,Resorts Resource Group International
11,Cape Town,ZA,71.28,broken clouds,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
12,Kahului,US,84.22,few clouds,20.8947,-156.47,Maui Seaside Hotel
14,Arraial Do Cabo,BR,76.86,clear sky,-22.9661,-42.0278,Pousada Porto Praia
18,Tautira,PF,87.82,light rain,-17.7333,-149.15,Pension Oaoa
19,Mahebourg,MU,80.26,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
21,Cap Malheureux,MU,80.47,overcast clouds,-19.9842,57.6142,Pereybere Hotel & Spa
22,Atuona,PF,78.42,overcast clouds,-9.8,-139.0333,Villa Enata
24,Staunton,US,72.32,clear sky,38.1496,-79.0717,Hotel 24 South
26,Coyaima,CO,76.05,overcast clouds,3.7994,-75.1947,El Mirador del Triángulo
28,Lamani,HN,87.62,scattered clouds,14.2,-87.6167,Texas Hotel
29,Kapaa,US,81.48,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
31,Georgetown,MY,78.73,few clouds,5.4112,100.3354,Cititel Penang
32,Axim,GH,80.02,clear sky,4.8699,-2.2405,Axim Beach Resort And Spa
33,Butaritari,KI,81.45,light rain,3.0707,172.7902,Isles Sunset Lodge
35,Pimenta Bueno,BR,72.64,overcast clouds,-11.6725,-61.1936,Cristalina Palace Hotel
37,Palimbang,PH,79.09,overcast clouds,6.2106,124.1894,Felmar Beach resort
38,Alta Floresta,BR,73.29,broken clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
42,Tignere,CM,75.27,overcast clouds,7.3667,12.65,SADECK
44,Cabo San Lucas,MX,79.61,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
47,Souillac,MU,80.37,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
